"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"zbeta2[33]",-0.44472427128,-0.4331125,-0.413732576049392,6543.5,0.95,-0.637946,-0.286634,NA,NA,NA,NA,NA,NA,NA
"zbeta2[34]",-0.32845523612,-0.319658,-0.291402329564124,8144.1,0.95,-0.495714,-0.183023,NA,NA,NA,NA,NA,NA,NA
"zbeta2[35]",-0.451566096737,-0.4504495,-0.440957293011238,17222.6,0.95,-0.662769,-0.243605,NA,NA,NA,NA,NA,NA,NA
"zbeta2[36]",-0.44402251105,-0.4351565,-0.410781293027134,6474.8,0.95,-0.615547,-0.296152,NA,NA,NA,NA,NA,NA,NA
"zbeta2[37]",-0.289561237343,-0.2863735,-0.27376997515452,11747.7,0.95,-0.470152,-0.107506,NA,NA,NA,NA,NA,NA,NA
"zbeta2[38]",-0.3022882109235,-0.298586,-0.292009405885608,12842.6,0.95,-0.472983,-0.135627,NA,NA,NA,NA,NA,NA,NA
"zbeta2[39]",-0.59437269105,-0.5925765,-0.587772800406291,7809,0.95,-0.740305,-0.466053,NA,NA,NA,NA,NA,NA,NA
"zbeta2[40]",-0.2268677546495,-0.224171,-0.218250928566794,9520.8,0.95,-0.347684,-0.114729,NA,NA,NA,NA,NA,NA,NA
"zbeta2[41]",-0.486091846473,-0.485898,-0.489176698386135,17841.3,0.95,-0.716558,-0.240714,NA,NA,NA,NA,NA,NA,NA
"zbeta2[42]",-0.323169134504665,-0.3270335,-0.339265960738237,10728,0.95,-0.502417,-0.121167,NA,NA,NA,NA,NA,NA,NA
"zbeta2[43]",-0.4142724420715,-0.4142455,-0.413949168133805,20000,0.95,-0.607184,-0.221007,NA,NA,NA,NA,NA,NA,NA
"zbeta2[44]",-0.368010366285,-0.3655975,-0.353413974011691,13484,0.95,-0.538523,-0.19252,NA,NA,NA,NA,NA,NA,NA
"zbeta2[45]",-0.22560990393385,-0.2167285,-0.202205906909666,8875.9,0.95,-0.36557,-0.109839,NA,NA,NA,NA,NA,NA,NA
"zbeta2[46]",-0.19233906046764,-0.1842915,-0.168211985931009,12519.4,0.95,-0.370764,-0.0383969,NA,NA,NA,NA,NA,NA,NA
"zbeta2[47]",-0.416992096281,-0.4167645,-0.414874398906342,17350.3,0.95,-0.634326,-0.199105,NA,NA,NA,NA,NA,NA,NA
