"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"zbeta0[4]",0.7415733464284,0.7433375,0.747852125242816,20000,0.95,-0.0445683,1.49897,NA,NA,NA,NA,NA,NA,NA
"zbeta0[5]",-0.67344305837455,-0.6761805,-0.67717765944202,18194.3,0.95,-1.27511,-0.0497319,NA,NA,NA,NA,NA,NA,NA
"zbeta0[6]",-2.148249129,-2.13051,-2.06815355528299,8401.5,0.95,-2.91442,-1.41206,NA,NA,NA,NA,NA,NA,NA
"zbeta0[7]",-0.06724147185868,-0.0680637,-0.121616892257115,18936.8,0.95,-0.810333,0.650265,NA,NA,NA,NA,NA,NA,NA
"zbeta0[8]",-0.1310433481763,-0.132421,-0.159810260137714,19590.5,0.95,-0.644583,0.370861,NA,NA,NA,NA,NA,NA,NA
"zbeta0[9]",-0.4972355519968,-0.4976265,-0.50191853412962,20000,0.95,-1.02681,-0.00133712,NA,NA,NA,NA,NA,NA,NA
"zbeta0[10]",-1.244155364105,-1.24681,-1.26876314651562,15640.8,0.95,-1.79156,-0.702202,NA,NA,NA,NA,NA,NA,NA
"zbeta0[11]",0.82258557319305,0.8234245,0.840053464224269,17718.9,0.95,0.298081,1.34638,NA,NA,NA,NA,NA,NA,NA
"zbeta0[12]",-0.38699994157696,-0.3898355,-0.358815596070387,20000,0.95,-1.00483,0.198332,NA,NA,NA,NA,NA,NA,NA
"zbeta0[13]",1.43425239731,1.436045,1.46551513219646,16854.4,0.95,0.686329,2.15246,NA,NA,NA,NA,NA,NA,NA
"zbeta0[14]",1.1170378343005,1.118665,1.09906954222965,18707.5,0.95,0.582334,1.67284,NA,NA,NA,NA,NA,NA,NA
"zbeta0[15]",0.26186326282935,0.262414,0.274690294793804,20000,0.95,-0.544015,1.08281,NA,NA,NA,NA,NA,NA,NA
